Actual;Prediction;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation
8;4.148148148148148;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.0
11;10.954545454545457;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.11337581748100192;0.40308639764159787
10;11.384615384615385;1.0;0.5;1.0;0.5;0.0;0.0;0.4444687250554841;0.04858963606328653;0.14769074252527042
11;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.21518267399455465;0.388145607477291
18;17.55;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.053217220450266216;0.19584516943424624
14;13.4;1.0;0.2;1.0;0.2;1.0;0.2;0.6681615999985714;0.1142057450748712;0.4552721463835968
15;14.615384615384615;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.24757576470341236;0.3264405333730916
11;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.252203349090392;0.19584516943424624
11;11.681818181818182;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5354950156209782;0.2846427924882873;0.5127034458131663
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;10.125;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.3102365356237623;0.3817827531929492
9;11.384615384615385;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.2290654271554937;0.22404702626554507
10;11.384615384615385;1.0;0.5;1.0;0.5;0.0;0.0;0.4444687250554841;0.23832059592945296;0.156378433262051
13;13.4;1.0;0.2;1.0;0.2;0.0;0.0;0.6681615999985714;0.2061636177325597;0.4654195791061917
11;9.28;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2645575365135151;0.8116255905465963
12;12.5;1.0;0.125;1.0;0.125;1.0;0.125;0.8003414080992761;0.07133340239466819;0.22130264466915953
11;10.125;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2341048704400169;0.31377103141859564
10;6.857142857142858;1.0;0.5;1.0;0.5;0.5;0.5;0.4444687250554841;0.2614585178643513;0.3432673368398987
15;14.615384615384615;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
9;10.125;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2302982871808297;0.28708154509515565
15;14.615384615384615;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
12;13.4;1.0;0.2;1.0;0.2;0.0;0.0;0.6681615999985714;0.22396191566630588;0.2962974987950586
15;14.615384615384615;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
13;12.5;1.0;0.125;1.0;0.125;1.0;0.125;0.8084256647467436;0.1664446055875591;0.21070725660291606
17;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;9.28;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2950102025870132;0.35306361745514164
11;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.24757576470341236;0.1567129329667526
15;13.4;1.0;0.2;1.0;0.2;0.0;0.0;0.6681615999985714;0.1587014899092366;0.2962974987950586
11;10.954545454545457;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.2290654271554937;0.5538814501018802
8;4.148148148148148;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.0
13;13.045454545454545;1.0;0.2;1.0;0.2;0.0;0.0;0.6479906837721994;0.23286106463317896;0.44362329711457466
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
14;12.5;1.0;0.125;1.0;0.125;1.0;0.125;0.7841728948043412;0.11651122391129135;0.1842377013360038
13;13.045454545454545;1.0;0.2;1.0;0.2;1.0;0.2;0.6681615999985714;-0.028180638395098087;0.40402520173420325
10;13.045454545454545;1.0;0.2;1.0;0.2;1.0;0.2;0.6429479547156064;0.3455836182135713;0.3761712965684479
17;17.55;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;1.0
13;12.5;1.0;0.125;1.0;0.125;1.0;0.125;0.8003414080992761;0.14504458486915864;0.13524739932761953
17;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
15;14.615384615384615;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.2840365315598932
14;14.615384615384615;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
9;9.28;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2569443699951405;0.43371022596953845
10;6.857142857142858;1.0;0.5;1.0;0.5;0.5;0.5;0.4444687250554841;0.2614585178643513;0.2093994512269229
14;12.9;1.0;0.125;1.0;0.125;1.0;0.125;0.7922571514518086;0.2639335888602723;0.25089113644280314
14;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
8;4.148148148148148;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.0
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.43660202195715697;0.1920447520596563;0.1754770507217184
15;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
7;4.148148148148148;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.0
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
8;0.0;1.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.5354950156209782;0.29982374142099594;0.0
10;8.304347826086957;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5354950156209782;0.1442190148607322;0.4054135161136331
17;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
13;13.045454545454545;1.0;0.2;1.0;0.2;1.0;0.2;0.6429479547156064;0.045978936328844255;0.34450352075813573
12;12.9;1.0;0.125;1.0;0.125;0.0;0.0;0.8043835364230099;0.040422261356978635;0.22283267334824683
9;11.681818181818182;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5354950156209782;0.14042377762755506;0.37950241902551124
11;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.2290654271554937;0.17463744279132776
17;17.55;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;1.0
10;11.681818181818182;1.0;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.5354950156209782;0.07590474466354327;0.5121797529609947
9;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.18741716767267666;0.17758145052635094
11;11.258064516129034;1.0;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.5354950156209782;0.2694618435555786;0.42804964166144993
18;17.55;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;10.125;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2988167858462005;0.8116255905465963
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.07635514238516455;0.388145607477291
11;11.258064516129034;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5354950156209782;0.2428951829233385;0.5246235141784668
14;14.615384615384615;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
12;12.9;1.0;0.125;1.0;0.125;0.0;0.0;0.8124677930704773;0.16168904542791454;0.25089113644280314
15;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
12;11.681818181818182;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5354950156209782;0.17078567549297238;0.362612872410916
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
9;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.18278958328569692;0.22404702626554507
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.1457689081898596;0.2503118091806574
18;17.55;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.24757576470341236;0.19584516943424624
13;14.615384615384615;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.2987264917430254
12;12.9;1.0;0.125;1.0;0.125;0.0;0.0;0.8003414080992761;0.18308906614631495;0.2827704230458566
8;8.304347826086957;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5161397740925091;0.18596662442568104;0.4054135161136331
10;11.681818181818182;1.0;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.5354950156209782;0.23530470845698415;0.21327253738387494
12;12.5;1.0;0.125;1.0;0.125;1.0;0.125;0.8084256647467436;0.14504458486915864;0.1988614555990228
11;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.1781619988987173;0.2503118091806574
